iter	Passed	Remaining
0	5	554
1	7	377
2	10	323
3	11	287
4	14	266
5	15	250
6	18	241
7	20	230
8	21	221
9	24	220
10	27	221
11	29	216
12	32	215
13	34	208
14	36	204
15	37	199
16	43	210
17	45	205
18	47	202
19	49	198
20	51	193
21	53	190
22	55	186
23	57	182
24	59	178
25	61	176
26	63	172
27	65	169
28	68	167
29	70	164
30	72	160
31	73	157
32	76	155
33	78	152
34	80	150
35	83	147
36	85	145
37	87	142
38	89	140
39	92	138
40	94	135
41	94	131
42	97	128
43	99	126
44	101	124
45	103	121
46	106	119
47	108	117
48	110	114
49	116	116
50	118	114
51	121	112
52	125	111
53	128	109
54	129	106
55	131	103
56	133	100
57	136	98
58	138	96
59	140	93
60	142	91
61	144	88
62	146	85
63	148	83
64	155	83
65	157	81
66	159	78
67	162	76
68	164	73
69	166	71
70	168	68
71	170	66
72	172	63
73	174	61
74	176	58
75	178	56
76	181	54
77	182	51
78	184	49
79	186	46
80	194	45
81	197	43
82	199	40
83	201	38
84	203	35
85	205	33
86	207	31
87	210	28
88	213	26
89	215	23
90	217	21
91	220	19
92	222	16
93	225	14
94	227	11
95	229	9
96	232	7
97	234	4
98	237	2
99	239	0
