iter	Passed	Remaining
0	151	151657
1	154	76858
2	155	51822
3	158	39474
4	161	32044
5	162	26964
6	164	23371
7	167	20727
8	169	18616
9	170	16914
10	173	15595
11	175	14483
12	177	13496
13	179	12653
14	182	11982
15	184	11350
16	187	10818
17	189	10334
18	191	9872
19	193	9460
20	195	9101
21	197	8776
22	199	8480
23	201	8197
24	203	7955
25	205	7706
26	207	7481
27	209	7281
28	212	7100
29	214	6930
30	216	6761
31	218	6619
32	220	6473
33	222	6333
34	225	6216
35	228	6108
36	230	6000
37	232	5893
38	234	5788
39	236	5685
40	239	5590
41	242	5521
42	244	5433
43	246	5354
44	248	5277
45	250	5195
46	252	5117
47	254	5056
48	257	4991
49	259	4922
50	261	4869
51	264	4815
52	266	4759
53	269	4713
54	271	4661
55	273	4607
56	275	4562
57	277	4514
58	279	4461
59	281	4412
60	284	4375
61	286	4331
62	288	4290
63	292	4270
64	293	4227
65	295	4187
66	299	4166
67	301	4136
68	303	4098
69	306	4068
70	308	4035
71	310	4004
72	313	3977
73	315	3946
74	317	3913
75	319	3886
76	321	3859
77	324	3831
78	326	3805
79	328	3780
80	331	3756
81	333	3730
82	334	3700
83	338	3686
84	341	3677
85	345	3668
86	349	3666
87	353	3659
88	358	3665
89	361	3651
90	365	3655
91	368	3636
92	371	3623
93	374	3610
94	377	3594
95	381	3589
96	383	3570
97	386	3558
98	389	3543
99	391	3521
100	394	3514
101	397	3496
102	399	3475
103	401	3458
104	403	3441
105	406	3424
106	408	3412
107	411	3396
108	413	3382
109	416	3368
110	418	3352
111	421	3339
112	423	3325
113	425	3307
114	427	3289
115	429	3270
116	431	3254
117	433	3237
118	435	3222
119	437	3206
120	439	3192
121	440	3173
122	442	3157
123	445	3146
124	447	3132
125	449	3117
126	450	3099
127	453	3089
128	455	3074
129	457	3059
130	458	3044
131	461	3031
132	463	3019
133	465	3007
134	467	2997
135	469	2984
136	471	2972
137	474	2961
138	477	2955
139	479	2943
140	481	2934
141	483	2922
142	485	2911
143	487	2899
144	491	2898
145	493	2887
146	495	2874
147	497	2865
148	499	2855
149	501	2844
150	505	2842
151	508	2835
152	510	2826
153	513	2820
154	515	2810
155	517	2801
156	521	2801
157	523	2791
158	526	2782
159	528	2774
160	529	2761
161	532	2752
162	534	2746
163	537	2738
164	539	2729
165	541	2721
166	544	2714
167	546	2705
168	548	2698
169	551	2690
170	552	2680
171	555	2673
172	557	2665
173	560	2658
174	562	2652
175	565	2646
176	567	2637
177	569	2628
178	571	2621
179	573	2614
180	576	2608
181	578	2601
182	580	2593
183	582	2584
184	584	2574
185	586	2567
186	588	2559
187	590	2550
188	593	2544
189	595	2537
190	596	2528
191	598	2518
192	600	2512
193	603	2505
194	604	2496
195	607	2489
196	609	2484
197	611	2476
198	613	2467
199	615	2463
200	618	2456
201	619	2448
202	621	2440
203	624	2435
204	625	2427
205	627	2418
206	629	2413
207	632	2407
208	634	2399
209	636	2393
210	638	2387
211	640	2379
212	641	2372
213	644	2368
214	647	2363
215	649	2357
216	652	2354
217	654	2348
218	656	2342
219	659	2337
220	661	2331
221	663	2324
222	665	2317
223	668	2314
224	670	2308
225	672	2303
226	675	2299
227	677	2294
228	679	2288
229	682	2283
230	684	2277
231	686	2271
232	688	2266
233	690	2261
234	692	2255
235	694	2249
236	697	2244
237	699	2239
238	701	2233
239	703	2227
240	705	2222
241	707	2217
242	709	2211
243	712	2207
244	714	2201
245	716	2195
246	718	2191
247	720	2185
248	722	2179
249	724	2173
250	727	2169
251	729	2164
252	730	2158
253	733	2154
254	735	2149
255	737	2143
256	740	2140
257	743	2137
258	745	2133
259	749	2132
260	751	2127
261	754	2124
262	757	2121
263	759	2116
264	761	2111
265	763	2107
266	765	2102
267	768	2097
268	770	2094
269	772	2089
270	774	2084
271	777	2080
272	779	2075
273	781	2071
274	784	2068
275	786	2063
276	788	2058
277	791	2055
278	794	2051
279	796	2046
280	798	2043
281	800	2039
282	802	2034
283	804	2029
284	807	2026
285	809	2021
286	812	2017
287	814	2014
288	816	2009
289	818	2004
290	821	2001
291	823	1997
292	825	1992
293	828	1989
294	830	1985
295	832	1980
296	835	1976
297	837	1972
298	839	1968
299	841	1964
300	844	1961
301	846	1956
302	848	1951
303	851	1949
304	853	1944
305	855	1940
306	858	1936
307	859	1932
308	861	1927
309	864	1925
310	866	1920
311	868	1915
312	870	1911
313	873	1907
314	875	1902
315	877	1898
316	880	1896
317	882	1891
318	883	1887
319	886	1882
320	888	1878
321	890	1875
322	892	1871
323	895	1867
324	897	1863
325	899	1860
326	902	1856
327	904	1852
328	906	1847
329	908	1845
330	910	1841
331	912	1836
332	915	1833
333	917	1829
334	919	1825
335	921	1821
336	924	1818
337	926	1813
338	928	1809
339	930	1805
340	932	1802
341	934	1798
342	937	1795
343	939	1791
344	941	1787
345	943	1783
